Time(s),Sensor1,Sensor2,Sensor3,Sensor4,Gyroscope,Magnetic_compass,Gyro integrated heading
356.5,1.2,1.3,1.26,1.18,-0.0248,178.8684874,180.76217509318
357,1.2,1.22,1.28,1.32,-0.0212,178.9873491,180.149507557236
357.5,1.32,1.14,1.22,1.28,-0.0172,182.2579464,180.671468189135
358,1.18,1.3,1.36,1.24,-0.019,179.1065268,180.181700697275
358.5,1.22,1.32,1.24,1.34,-0.0188,180.3633638,180.145780610404
359,1.22,1.2,1.24,1.22,-0.0122,181.9692624,180.720662460465
359.5,1.2,1.26,1.34,1.32,0.0018,182.292608,181.564864277387
360,1.26,1.2,1.34,1.32,-0.0054,180.4169428,181.52043401403
360.5,1.26,1.24,1.26,1.34,-0.0188,184.8343148,182.42041212325
361,1.12,1.18,1.24,1.34,-0.02,180.3057633,181.858183777015
361.5,1.22,1.24,1.36,1.26,-0.0014,180.2923842,181.766817319509
362,1.22,1.2,1.22,1.28,-0.0144,181.6658788,181.761403759374
362.5,1.22,1.18,1.26,1.4,-0.0358,181.6743195,181.316799851423
363,1.16,1.28,1.32,1.3,-0.0254,179.3823455,180.576450858874
363.5,1.2,1.16,1.16,1.28,0.0016,181.8100956,181.238195443915
364,1.38,1.26,1.3,1.38,0.0076,178.7454322,180.989697871066
364.5,1.18,1.2,1.24,1.3,-0.0214,180.8521447,180.718665129537
365,1.24,1.16,1.26,1.34,-0.0272,181.0202195,180.45901630124
365.5,1.28,1.26,1.38,1.3,-0.0052,181.0845089,180.766715877781
366,1.26,1.24,1.32,1.24,-0.0168,180.7821621,180.676877683073
366.5,1.22,1.26,1.34,1.26,-0.029,176.178401,179.059862010913
367,1.24,1.26,1.24,1.3,-0.026,178.6392552,178.538520759544
367.5,1.24,1.18,1.22,1.22,-0.0202,180.1902935,178.728788060342
368,1.14,1.26,1.24,1.36,-0.0202,177.830444,178.257768477603
368.5,1.2,1.16,1.2,1.28,-0.005,176.2953482,177.778202060606
369,1.24,1.18,1.28,1.28,0.0044,179.8099445,178.561784659959
369.5,1.24,1.12,1.26,1.28,-0.006,181.9826404,179.57983643538
370,1.24,1.22,1.3,1.26,-0.0152,182.295217,180.311852439808
370.5,1.2,1.28,1.32,1.36,0.0042,182.6737996,181.42653426652
371,1.22,1.18,1.26,1.34,-0.004,182.005087,181.920176835035
371.5,1.22,1.2,1.24,1.3,-0.0106,182.4574456,182.270337109985
372,1.2,1.18,1.2,1.32,-0.0162,181.5071318,182.144454393515
372.5,1.2,1.14,1.4,1.3,-0.0242,179.3213894,181.242387364201
373,1.32,1.16,1.26,1.28,-0.0262,180.1096205,180.696801149
373.5,1.2,1.28,1.32,1.34,-0.0318,179.0081899,179.853372744953
374,1.16,1.16,1.3,1.24,-0.033,180.9339712,179.735221423282
374.5,1.14,1.18,1.26,1.34,-0.0096,178.2069849,179.40791403154
375,1.16,1.26,1.36,1.24,-0.0112,178.3570684,179.131835626436
375.5,1.22,1.28,1.32,1.16,-0.008,177.1913371,178.635650534877
376,1.28,1.22,1.24,1.3,-0.0118,179.4974286,178.795113129892
376.5,1.2,1.28,1.36,1.26,-0.0028,184.4832378,180.539404509502
377,1.26,1.16,1.2,1.22,0.004,178.8047229,180.485048712741
377.5,1.22,1.24,1.26,1.36,-0.038,181.8051348,180.364214560322
378,1.16,1.22,1.3,1.34,-0.0204,182.0539175,180.771129337028
378.5,1.3,1.26,1.3,1.28,-0.0044,179.1800236,180.629917368975
379,1.24,1.16,1.38,1.26,0.0096,179.2819675,180.782810843578
379.5,1.22,1.28,1.24,1.24,-0.0162,181.9645841,181.060218844638
380,1.26,1.24,1.32,1.34,0.0002,180.9977201,181.359615780757
380.5,1.12,1.18,1.4,1.24,0.0194,183.7483478,182.733248482659
381,1.2,1.18,1.3,1.34,0.0032,181.7848686,182.870703438641
381.5,1.18,1.22,1.3,1.24,-0.0152,176.7799372,181.124332192131
382,1.26,1.12,1.22,1.2,-0.023,180.8089574,180.67126205454
382.5,1.26,1.24,1.3,1.36,-0.0102,180.3101037,180.473693107693
383,1.12,1.24,1.26,1.28,-0.0126,178.8925533,179.873550990751
383.5,1.14,1.16,1.16,1.22,-0.0406,178.2237101,178.637433518032
384,1.04,1,1.1,1.08,-0.0384,180.3193112,178.374519762826
384.5,0.8,0.68,0.72,0.72,-0.0156,178.9845259,178.358422568746
385,0.58,0.56,0.48,0.52,-0.0198,178.9874326,178.288387758814
385.5,0.26,0.3,0.2,0.38,-0.5746,159.5388786,161.365242112527
386,0.18,0.38,0.14,0.48,-0.5614,145.3474291,145.410096530179
386.5,0.16,0.44,0.08,0.42,-0.5174,136.2402754,132.298934335378
387,0.26,0.32,0.2,0.28,-0.5084,118.3778406,118.192540668039
387.5,0.08,0.38,0.16,0.42,-0.5328,105.5142739,103.946323346753
388,0.08,0.36,0.14,0.4,-0.5428,88.63601044,88.8149690960798
388.5,0.18,0.3,0.14,0.36,-0.5246,74.73013824,74.3972125219749
389,0.16,0.34,0.16,0.34,-0.5206,59.64145999,59.8853257257427
389.5,0.12,0.36,0.16,0.36,-0.5606,47.62606359,45.2510698089908
390,0.1,0.32,0.08,0.38,-0.5474,31.0028765,30.4247866878407
390.5,0.12,0.42,0.18,0.34,-0.5314,16.67070751,16.0917924266097
391,0.16,0.3,0.24,0.3,-0.5412,-4.530817228,-0.367264877629484
391.5,0.2,0.32,0.2,0.38,-0.0008,-2.813763076,-0.758444494384309
392,0.46,0.48,0.5,0.68,-0.0148,-2.785005618,-1.40571155643797
392.5,0.72,0.7,0.72,0.78,-0.0224,-0.6823054901,-1.48735243296654
393,0.92,1,0.9,0.98,-0.0166,0.9135890856,-0.939288172304668
393.5,1.14,1.14,1.24,1.26,-0.0222,-1.544208183,-1.28000012174855
394,1.2,1.14,1.3,1.38,-0.0106,-1.461002387,-1.27371561904777
394.5,1.18,1.26,1.18,1.2,-0.0166,-0.4051765718,-1.10060854188484
395,1.3,1.24,1.24,1.38,-0.022,-0.722462866,-1.14769289597245
395.5,1.24,1.26,1.36,1.38,-0.015,-4.186290136,-2.00288271758476
396,1.16,1.26,1.32,1.3,-0.0174,-5.905655549,-3.24620163322169
396.5,1.22,1.18,1.26,1.3,-0.015,-1.526796745,-2.95824658852277
397,1.28,1.24,1.3,1.34,-0.0238,-1.967728933,-2.99639563342012
397.5,1.32,1.26,1.3,1.3,0.001,0.3414566054,-1.81532261177207
398,1.2,1.22,1.24,1.3,-0.002,-1.578672003,-1.48372668404926
398.5,1.18,1.26,1.26,1.28,0.0054,-1.62635168,-1.11205366714184
399,1.28,1.2,1.28,1.32,-0.0094,-3.58578348,-1.72779773553829
399.5,1.28,1.28,1.32,1.32,0.006,-0.006905515492,-0.916471142392933
400,1.22,1.18,1.38,1.32,-0.0046,-0.1667776285,-0.559329006896495
400.5,1.18,1.22,1.3,1.3,-0.0278,0.2414523087,-0.646818178394817
401,1.26,1.22,1.36,1.24,-0.0236,2.909472066,0.172152334237825
401.5,1.22,1.2,1.28,1.3,-0.0258,-3.418266493,-0.965491363616887
402,1.16,1.24,1.22,1.22,-0.033,2.357960605,-0.393268705988559
402.5,1.3,1.2,1.32,1.36,-0.0374,-0.6907872832,-0.821319729969155
403,1.22,1.2,1.24,1.28,-0.031,-1.843497721,-1.31819272893585
403.5,1.06,1.22,1.42,1.38,-0.006,1.07147748,-0.356145937029094
404,1.14,1.28,1.26,1.36,-0.0088,-4.318969521,-1.19369094128079
404.5,1.24,1.32,1.36,1.28,-0.0098,-1.38851834,-1.11603834793094
405,1.16,1.24,1.24,1.36,0.0046,0.4221441458,-0.262678725383242
405.5,1.26,1.28,1.32,1.2,-0.0042,0.4347415238,0.200820575957511
406,1.16,1.24,1.28,1.3,0.0076,2.876739317,1.47807790178675
406.5,1.24,1.34,1.36,1.26,-0.0112,-0.723657917,1.04492978348742
407,1.26,1.28,1.32,1.32,-0.0064,-3.70579946,-0.0891411773895417
407.5,1.2,1.18,1.22,1.22,-0.012,1.37350546,0.270744679602629
408,1.2,1.22,1.32,1.32,-0.0144,-0.9446013996,-0.13156875421835
408.5,1.12,1.12,1.22,1.28,-0.0156,1.132439304,0.110489211473369
409,1.2,1.28,1.24,1.32,-0.0034,-1.164599086,-0.0741610004782902
409.5,1.22,1.26,1.26,1.26,-0.021,-2.762659801,-1.06784955643326
410,1.2,1.3,1.26,1.18,-0.0056,-0.8547866535,-0.994545306425957
410.5,1.26,1.14,1.26,1.32,-0.0136,1.934985307,-0.30823031314032
411,1.12,1.22,1.32,1.28,0.0124,4.361153058,1.50152538559962
411.5,1.24,1.2,1.24,1.26,-0.025,-2.363506575,0.243827841410426
412,1.16,1.26,1.18,1.4,-0.0196,-2.972554945,-0.830689412019181
412.5,1.26,1.26,1.26,1.34,-0.016,-0.3073878554,-0.861530236395914
413,1.18,1.24,1.34,1.32,-0.0308,3.371765554,-0.119066235224475
413.5,1.24,1.14,1.3,1.28,-0.0238,-0.1768673696,-0.301537924882735
414,1.14,1.38,1.28,1.46,-0.0302,0.2214416547,-0.445094612897633
414.5,1.22,1.2,1.28,1.22,-0.015,-1.667273219,-0.743663612002597
415,1.26,1.2,1.24,1.32,-0.0002,1.772023468,0.282909495455418
415.5,1.24,1.3,1.28,1.28,-0.0232,1.299859451,0.475987998371184
416,1.28,1.24,1.28,1.34,-0.0204,-0.1900811475,0.284045941896051
416.5,1.26,1.32,1.3,1.26,-0.0128,-1.893993749,-0.201512899412226
417,1.16,1.2,1.3,1.26,-0.0214,0.3899712864,-0.149831165831179
417.5,1.28,1.2,1.26,1.28,-0.028,-2.402253508,-1.01773872213471
418,1.22,1.28,1.32,1.36,-0.0102,-5.321325088,-2.16208654459032
418.5,1.24,1.22,1.22,1.26,-0.0074,2.161770053,-0.935245432478945
419,1.22,1.24,1.24,1.3,0.0008,-4.643803017,-1.68767518266281
419.5,1.28,1.26,1.36,1.18,-0.0118,-0.8590020626,-1.5372683257665
420,1.18,1.24,1.24,1.32,0.0028,1.420104185,-0.453978817335102
420.5,1.28,1.22,1.32,1.26,-0.0118,0.3296294008,-0.20698148969523
421,1.2,1.2,1.32,1.34,-0.0082,-0.7570331344,-0.241727962037712
421.5,1.18,1.2,1.26,1.26,-0.0184,-4.65184696,-1.60360212434304
422,1.22,1.16,1.18,1.26,-0.0308,-0.5794652379,-1.80783898338048
422.5,1.24,1.18,1.3,1.18,-0.01,-0.6736740195,-1.50147798057058
423,0.98,0.96,1.06,0.96,-0.0102,-1.746322775,-1.55521373887449
423.5,0.76,0.74,0.86,0.8,-0.029,2.052009888,-0.909313035279425
424,0.44,0.48,0.52,0.56,-0.0298,-4.051327691,-2.06887205207234
424.5,0.2,0.26,0.26,0.34,-0.0088,-3.174898613,-2.30459635555997
425,0.1,0.16,0.02,0.06,0.0008,1.466231926,-0.996240527637159
