Time(s),Sensor1,Sensor2,Sensor3,Sensor4,Gyroscope,Magnetic_compass,Gyro integrated heading
89.5,1.26,1.28,1.28,1.3,0.0008,-0.5226269718,0.345928258558024
90,1.2,1.18,1.28,1.34,0.007,1.936604614,1.26956356901297
90.5,1.2,1.32,1.3,1.3,-0.026,1.563287019,1.17660162485737
91,1.24,1.26,1.28,1.32,-0.0042,-2.599230597,0.392191251711083
91.5,1.14,1.16,1.26,1.34,-0.0236,-0.4948965034,-0.0983681204648227
92,1.14,1.1,1.28,1.24,-0.022,-2.677899102,-1.05354323540868
92.5,1.08,1.24,1.34,1.32,-0.0108,-0.2572019169,-0.890224645143282
93,1.22,1.22,1.3,1.24,-0.0154,-1.816689442,-1.28321418477018
93.5,1.2,1.2,1.3,1.42,-0.0102,-0.07841013443,-0.987366723452613
94,1.26,1.18,1.28,1.4,-0.0072,4.026528302,0.490296843110221
94.5,1.26,1.2,1.3,1.32,0.005,1.080754868,1.11408203148206
95,1.28,1.2,1.32,1.26,0.007,1.075103321,1.59878673439046
95.5,1.32,1.26,1.3,1.24,-0.0204,-2.589972075,0.320896932700585
96,1.26,1.22,1.28,1.24,-0.0234,-1.358905388,-0.431050534399192
96.5,1.22,1.22,1.3,1.32,-0.0078,0.5489362493,-0.14766733585589
97,1.28,1.2,1.34,1.32,-0.0032,3.63822047,1.05647282280257
97.5,1.28,1.22,1.3,1.22,-0.0128,2.198137092,1.42367257088729
98,1.16,1.2,1.3,1.24,-0.0028,1.717488412,1.7885314898078
98.5,1.2,1.16,1.28,1.22,-0.0044,1.484270973,1.94774065978111
99,1.28,1.24,1.34,1.28,-0.0142,2.062978689,2.00512277290549
99.5,1.2,1.28,1.3,1.26,-0.0156,0.1948708172,1.48965927513408
100,1.24,1.32,1.32,1.26,-0.0354,-1.983343144,0.0404838961942933
100.5,1.12,1.18,1.16,1.26,-0.0216,0.6852036525,-0.0433828905496356
101,1.32,1.28,1.32,1.32,-0.0272,-0.1914063119,-0.435953662089657
101.5,1.18,1.18,1.32,1.26,-0.0076,1.254942556,0.106085761272896
102,1.12,1.2,1.26,1.2,-0.0218,1.613407915,0.353929374389623
102.5,1.18,1.26,1.28,1.38,-0.0158,-2.911397805,-0.57600684789748
103,1.26,1.2,1.28,1.34,-0.012,0.9636202415,-0.164050981293189
103.5,1.2,1.18,1.18,1.22,-0.0308,-3.044556763,-1.34423393308186
104,1.28,1.22,1.26,1.24,-0.0268,-1.931859673,-1.8643269326559
104.5,1.22,1.28,1.2,1.2,-0.0168,-2.650358628,-2.23848317717585
105,1.24,1.22,1.3,1.26,-0.0092,-0.3848670988,-1.72503679269221
105.5,1.22,1.22,1.22,1.24,-0.0214,-1.996392903,-2.00767602434346
106,1.2,1.12,1.28,1.34,-0.002,-1.183488355,-1.58083267907738
106.5,1.28,1.2,1.26,1.34,-0.0176,-1.528256914,-1.67604427516147
107,1.22,1.28,1.2,1.3,0.006,1.225456128,-0.472013016782913
107.5,1.14,1.28,1.4,1.24,-0.0064,-2.842030076,-0.946091849155805
108,1.12,1.14,1.24,1.2,-0.0082,-1.764078476,-1.09776393506882
108.5,1.28,1.26,1.28,1.28,-0.0382,-4.510831941,-2.63013896192318
109,1.22,1.22,1.3,1.34,-0.0128,-3.89445846,-3.11204024302473
